Video_Name,blurry,undecided,acceptable,occluded,not_occluded,partially_occluded,partially_turned,turned,frontal,oveall_annotated_per_vid
face_1,108,0,56,0,153,11,109,0,55,492
face_103,281,30,759,50,840,180,641,250,179,3210
face_104,6,8,4115,102,3482,545,3176,389,564,12387
face_106.MP4,0,0,1562,0,1562,0,12,0,1550,4686
face_11,11,0,4008,1508,2399,112,3366,600,53,12057
face_116,74,11,606,237,342,112,482,118,91,2073
face_12,546,0,9637,395,8614,1174,9607,517,59,30549
face_123,50,300,2181,87,2443,1,1543,517,471,7593
face_129,0,0,988,0,988,0,988,0,0,2964
face_13,0,0,10770,218,10465,87,10628,142,0,32310
face_133,44,208,344,21,511,64,418,166,12,1788
face_135,0,0,5650,3670,1947,33,5200,450,0,16950
face_136,9,0,522,12,347,172,140,378,13,1593
face_137.mp4,0,50,9017,776,8126,165,7931,865,271,27201
face_138,0,0,988,0,988,0,988,0,0,2964
face_14,0,0,1141,0,1136,5,1124,11,6,3423
face_145,0,121,5414,49,5435,51,3729,1034,772,16605
face_147,72,96,4427,594,3338,663,4008,323,264,13785
face_148,241,8,1486,94,1592,49,1112,133,490,5205
face_15,73,64,3220,8,3349,0,3218,116,23,10071
face_155,0,466,585,0,1051,0,583,363,105,3153
face_156,7,44,1664,13,1700,2,1221,434,60,5145
face_158,328,134,134,137,381,78,473,5,118,1788
face_159,0,0,589,0,589,0,0,0,589,1767
face_160,28,155,0,0,183,0,172,0,11,549
face_161,1644,0,616,407,1695,158,1282,352,626,6780
face_166,0,0,302,0,302,0,10,0,292,906
face_169,0,61,673,30,608,96,475,222,37,2202
face_17,418,61,0,23,344,112,454,0,25,1437
face_173,0,1,1932,32,1764,137,1734,144,55,5799
face_175,0,0,402,0,402,0,372,0,30,1206
face_186,5,104,182,0,291,0,224,67,0,873
face_19,0,0,588,0,588,0,133,4,451,1764
face_190,0,0,1023,56,896,71,792,0,231,3069
face_191,0,0,812,3,741,68,427,0,385,2436
face_193,0,1,892,28,807,58,697,137,59,2679
face_195,0,0,1659,0,1585,74,1654,2,3,4977
face_2,19,0,2818,629,1811,397,1888,650,299,8511
face_202,0,0,1401,0,1401,0,1401,0,0,4203
face_210,0,0,1661,46,1559,56,1120,0,541,4983
face_211,0,0,1169,0,1169,0,828,30,311,3507
face_214,0,169,823,46,943,3,985,7,0,2976
face_217,31,758,3002,46,3741,4,2342,426,1023,11373
face_22,0,0,3261,65,3186,10,1601,121,1539,9783
face_220.mp4,19,370,2049,2,1815,621,857,561,1020,7314
face_221.mp4,0,0,2839,0,2794,45,486,16,2337,8517
face_224.mp4,0,0,7811,1222,3424,3165,4654,494,2663,23433
face_226.mp4,0,0,7661,0,4768,2893,5197,1405,1059,22983
face_227.mp4,0,0,1086,0,1003,83,816,40,230,3258
face_228.mp4,511,227,1513,238,1610,403,1599,341,311,6753
face_229.mp4,126,179,15893,457,15455,286,14946,162,1090,48594
face_230.mp4,0,0,2157,0,2137,20,2007,120,30,6471
face_231.mp4,0,0,1308,79,1002,227,546,762,0,3924
face_232.mp4,0,0,2411,0,2411,0,2411,0,0,7233
face_233.mp4,0,0,725,38,637,50,411,246,68,2175
face_237.mp4 (2),0,0,574,0,574,0,16,0,558,1722
face_240.mp4,0,10,1461,0,1471,0,11,117,1343,4413
face_241.mp4 (1),0,0,846,0,846,0,0,0,846,2538
face_243.mp4 (1),0,0,1142,0,1141,1,53,0,1089,3426
face_244.mp4 (1),0,0,345,11,328,6,25,10,310,1035
face_246.mp4,23,50,538,17,591,3,228,193,190,1833
face_247.mp4,0,0,283,11,272,0,129,0,154,849
face_249,0,78,2065,39,2100,4,1717,204,222,6429
face_252,0,0,2074,1067,1007,0,2074,0,0,6222
face_253,0,0,613,0,613,0,1,0,612,1839
face_254,0,0,780,4,683,93,259,0,521,2340
face_259,0,0,976,0,976,0,976,0,0,2928
face_26,55,0,3797,242,3591,19,2884,478,490,11556
face_261,0,0,787,0,787,0,786,0,1,2361
face_262,0,0,1360,0,1360,0,1140,0,220,4080
face_263,0,0,545,6,525,14,537,0,8,1635
face_264,0,0,764,0,764,0,764,0,0,2292
face_28,0,0,1725,861,864,0,1387,317,21,5175
face_282,0,0,1537,106,1431,0,1436,0,101,4611
face_296,10,0,1329,0,1339,0,1171,70,98,4017
face_30,106,148,2676,172,2664,94,1675,1104,151,8790
face_301,0,0,1955,10,1915,30,1832,123,0,5865
face_303,0,0,2360,0,2360,0,1709,0,651,7080
face_305,0,0,2069,0,2069,0,1959,70,40,6207
face_306,0,0,1158,0,1158,0,941,0,217,3474
face_307,0,0,1104,0,1104,0,672,0,432,3312
face_309,0,0,1173,0,1173,0,639,0,534,3519
face_310,0,0,1229,25,918,286,1155,0,74,3687
face_311,0,0,1203,0,1203,0,1203,0,0,3609
face_312,0,0,784,0,784,0,780,0,4,2352
face_32,226,10,851,29,928,130,869,212,6,3261
face_34,0,0,168,19,149,0,96,72,0,504
face_37,0,0,4778,0,4778,0,4778,0,0,14334
face_39,0,0,5310,43,5201,66,5310,0,0,15930
face_43,181,11,1619,9,1797,5,1395,32,384,5433
face_45,0,40,1040,187,786,107,804,217,59,3240
face_5,15,0,148,96,67,0,163,0,0,489
face_52,3,0,3368,35,3233,103,2577,648,146,10113
face_54,0,0,1381,20,1321,40,577,0,804,4143
face_58,0,60,1418,365,1112,1,1404,50,24,4434
face_59,0,0,544,1,501,42,243,0,301,1632
face_6,0,0,19777,1782,17451,544,16025,1308,2444,59331
face_63,0,186,6328,236,6266,12,4199,824,1491,19542
face_64,0,0,1649,84,1306,259,642,0,1007,4947
face_65,0,26,2464,2157,333,0,1486,966,38,7470
face_66,0,0,2786,0,2786,0,2593,69,124,8358
face_69,0,0,1384,46,1304,34,457,0,927,4152
face_73,0,0,1317,0,1306,11,1163,154,0,3951
face_74,0,0,418,0,418,0,418,0,0,1254
face_75,0,0,1680,0,1680,0,6,1674,0,5040
face_76,0,0,554,0,554,0,314,226,14,1662
face_79,0,0,1043,0,1043,0,551,0,492,3129
face_80,2241,55,2296,188,4284,120,3458,1069,65,13776
face_82,204,15,329,27,476,45,525,23,0,1644
face_83,130,122,119,159,205,7,187,18,166,1113
face_86,0,43,1880,93,1681,149,1600,272,51,5769
face_88,10,20,1344,0,1367,7,210,28,1136,4122
face_90,1015,988,1245,1606,1308,334,1389,1620,239,9744
face_91,9,3,689,0,701,0,261,440,0,2103
face_94,39,235,5556,554,3641,1635,5552,4,274,17490
face_95.MP4,11,32,2915,186,2772,0,1198,1760,0,8874
face_99,0,0,229,82,147,0,91,0,138,687
face_img_1,0,0,0,0,0,0,0,0,0,0
face_img_11,0,0,0,0,0,0,0,0,0,0
face_img_12,0,0,0,0,0,0,0,0,0,0
face_img_17,0,0,0,0,0,0,0,0,0,0
face_img_21,0,0,0,0,0,0,0,0,0,0
face_img_22,0,0,0,0,0,0,0,0,0,0
face_img_23,0,0,0,0,0,0,0,0,0,0
face_img_24,0,0,0,0,0,0,0,0,0,0
face_img_25,0,0,0,0,0,0,0,0,0,0
face_img_26,0,0,0,0,0,0,0,0,0,0
face_img_27,0,0,0,0,0,0,0,0,0,0
face_img_28,0,0,0,0,0,0,0,0,0,0
face_img_3,0,0,0,0,0,0,0,0,0,0
face_img_31,0,0,0,0,0,0,0,0,0,0
face_img_33.jpg,0,0,0,0,0,0,0,0,0,0
face_img_38.jpg,0,0,0,0,0,0,0,0,0,0
face_img_39.jpg,0,0,0,0,0,0,0,0,0,0
face_img_4.png,0,0,0,0,0,0,0,0,0,0
face_img_40.jpg,0,0,0,0,0,0,0,0,0,0
face_img_41.jpg,0,0,0,0,0,0,0,0,0,0
face_img_43.jpg,0,0,0,0,0,0,0,0,0,0
face_img_47.jpg,0,0,0,0,0,0,0,0,0,0
face_img_5.png,0,0,0,0,0,0,0,0,0,0
face_img_51.jpg,0,0,0,0,0,0,0,0,0,0
face_img_6.png,0,0,0,0,0,0,0,0,0,0
face_img_62.png,0,0,0,0,0,0,0,0,0,0
face_img_63.png,0,0,0,0,0,0,0,0,0,0
face_img_7.png,0,0,0,0,0,0,0,0,0,0
face_img_76.jpg,0,0,0,0,0,0,0,0,0,0
face_img_77.jpg,0,0,0,0,0,0,0,0,0,0
face_img_8.png,0,0,0,0,0,0,0,0,0,0
face_img_87.jpg,0,0,0,0,0,0,0,0,0,0
face_img_9.png,0,0,0,0,0,0,0,0,0,0
