_id,_createdAt,_updatedAt,user_id,upload_date,analysis_date,file_name_stemmed,file_name,record_file_url,record_type,video_length_secs,size_in_mb,status,record_name,_updatedAt,_uid,transcript,translation,override_transcript,override_translation
1,43:58.9,31:08.0,AdminUser,43:58.9,,file_name_stemmed,20241210_1243_f1136d_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1243_f1136d_s3_sensor/input_video/20241210_1243_f1136d_s3_sensor.mp4,video,5.759,1.67,Done,#Labrador Dog Barking clip #Dog traing.mp4,31:02.9,6758378eddcc81c453c0,"""WEBVTT\n\n""","""WEBVTT\n\n00:00:00.349 --> 00:00:27.170\nFake line\n\n""",,"WEBVTT

00:00:00.349 --> 00:00:01.000
{{Audio Event 1}}
People Talking

00:00:02.349 --> 00:00:05.349
{{Audio Event 2}}
Barking"
2,37:05.5,40:53.6,AdminUser,37:05.5,,file_name_stemmed,20241210_1243_92470f_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1243_92470f_s3_sensor/input_video/20241210_1243_92470f_s3_sensor.mp4,video,17.485,18.81,Done,0530(6).mp4,40:49.5,67584401716a1f59bf8e,"""WEBVTT\n\n00:00:13.131 --> 00:00:13.695\nThank you.\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:09.000
{{Audio Event 1}}
Gunshots

00:00:11.349 --> 00:00:15.349
{{Audio Event 2}}
People Talking"
3,53:05.0,04:45.1,AdminUser,53:05.0,,file_name_stemmed,20241210_1452_60e54c_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1452_60e54c_s3_sensor/input_video/20241210_1452_60e54c_s3_sensor.mp4,video,30.1,5.63,Done,20240826_0621_1412db_s3_sensor_cut.mp4,04:40.8,675855d106df50de81a8,"""WEBVTT\n\n00:00:00.950 --> 00:00:05.293\n\u0627\u0639\u0648\u0630 \u0628\u0627\u0644\u0644\u0647 \u0645\u0646 \u0627\u0644\u0634\u064a\u0637\u0627\u0646 \u0627\u0644\u0631\u062c\u064a\u0645 \u0628\u0633\u0645 \u0627\u0644\u0644\u0647 \u0627\u0644\u0631\u062d\u0645\u0646 \u0627\u0644\u0631\u062d\u064a\u0645.\n\n00:00:05.613 --> 00:00:20.344\n\u0633\u064a\u0645\u0632\u0645\u0648\u0627 \u0627\u0644\u0646\u062c\u0645 \u0648\u064a\u0648\u0644\u0648\u0647\u0646 \u0627\u0644\u0630\u0642\u0631 \u0641\u0644\u0633\u0627\u062a \u0645\u0648\u0639\u062f\u0647\u0645 \u0648\u0633\u0627\u0639\u0627\u062a \u0627\u062f\u0639\u0627\u0621 \u0648\u0633\u0627\u0639\u0627\u062a \u0627\u062f\u0639\u0627\u0621 \u0648\u0627\u0645\u0631 \u0627\u0646 \u0645\u062c\u0631\u0645\u064a\u0646 \u0641\u064a \u0636\u0644\u0627\u0644.\n\n00:00:22.676 --> 00:00:25.443\n\u0627\u0646 \u0627\u0644\u0645\u062f\u0646 \u0647\u064a \u0645\u0646\u0627\u0631 \u0647\u064a \u0636\u0631\u0627\u0626\u0628\u0647\u0627 \u064a\u0633\u062d\u0628\u0648\u0627.\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:01.349 --> 00:00:04.099
{{Audio Event 1}}
People Talking

00:00:05.349 --> 00:00:30.099
{{Audio Event 2}}
Music"
4,56:10.9,41:42.7,AdminUser,56:10.9,,file_name_stemmed,20241210_1452_5a36f2_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1452_5a36f2_s3_sensor/input_video/20241210_1452_5a36f2_s3_sensor.mp4,video,31.75,11.67,Done,20241127_1507_f823fb_s3_sensor.mp4,41:34.8,6758568ad54307435229,"""WEBVTT\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:31.170
{{Audio Event 1}}
Music

00:00:30.349 --> 00:00:31.349
{{Audio Event 2}}
People Talking"
5,59:06.2,41:30.4,AdminUser,59:06.2,,file_name_stemmed,20241210_1452_73b35e_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1452_73b35e_s3_sensor/input_video/20241210_1452_73b35e_s3_sensor.mp4,video,11.893,3.21,Done,20241127_1513_4c6d27_s3_sensor.mp4,41:19.6,6758573a3a8d253714cb,"""WEBVTT\n\n00:00:04.735 --> 00:00:10.893\n\u064a\u0627 \u0644\u0627 \u0639\u0644\u0645 \u0627\u0644\u0647 \u0627\u0644\u0627 \u0627\u0644\u0644\u0647 \u0627\u0643\u0628\u0631 .\u0627\u0644\u0644\u0647 \u0627\u0643\u0628\u0631 .\u0627\u0644\u0644\u0647 \u0627\u0643\u0628\u0631 .\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:01.000
{{Audio Event 1}}
Shouting

00:00:01.349 --> 00:00:02.349
{{Audio Event 2}}
Crowd

00:00:02.349 --> 00:00:04.349
{{Audio Event 3}}
Shouting

00:00:04.349 --> 00:00:06.349
{{Audio Event 4}}
Crowd

00:00:07.349 --> 00:00:08.349
{{Audio Event 5}}
Shouting

00:00:08.349 --> 00:00:10.349
{{Audio Event 6}}
Crowd

00:00:10.349 --> 00:00:11.000
{{Audio Event 7}}
Shouting"
6,02:21.6,42:45.5,AdminUser,02:21.6,,file_name_stemmed,20241210_1453_74debe_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1453_74debe_s3_sensor/input_video/20241210_1453_74debe_s3_sensor.mp4,video,6.405166667,1.17,Done,20241127_1537_83dfea_s3_sensor.mp4,42:35.6,675857fd947db72f1b15,"""WEBVTT\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:03.000
{{Audio Event 1}}
Engine"
7,05:22.7,02:59.1,AdminUser,05:22.7,,file_name_stemmed,20241210_1453_a59e01_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1453_a59e01_s3_sensor/input_video/20241210_1453_a59e01_s3_sensor.mp4,video,8.933333333,1.86,Done,20241127_1552_061bbb_s3_sensor.mp4,02:47.8,675858b2b2d5b741896c,"""WEBVTT\n\n00:00:00.009 --> 00:00:01.276\n\u05d0\u05dd \u05d4\u05d9\u05d4 \u05de\u05d7\u05d1\u05d1 \u05e4\u05d4?\n\n00:00:02.403 --> 00:00:02.484\n\u05db\u05df.\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:03.000
{{Audio Event 1}}
People Talking

00:00:00.349 --> 00:00:01.349
{{Audio Event 4}}
Shouting

00:00:02.349 --> 00:00:08.349
{{Audio Event 2}}
Siren

00:00:03.349 --> 00:00:08.349
{{Audio Event 3}}
Traffic"
8,08:18.9,04:25.6,AdminUser,08:18.9,,file_name_stemmed,20241210_1453_0863dd_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1453_0863dd_s3_sensor/input_video/20241210_1453_0863dd_s3_sensor.mp4,video,30.015,12.13,Done,20241127_1633_19ae30_s3_sensor_cut.mp4,04:06.7,67585962d1590904969c,"""WEBVTT\n\n00:00:10.096 --> 00:00:18.248\n\u0642\u062f\u0633 \u0627\u0644\u0627\u0642\u062f\u0627\u0633 \u062a\u0646\u0627\u062f\u064a\u0646\u0627 \u0641\u0627\u0639\u062f\u0648\u0627 \u0627\u0644\u0639\u062f\u0629 \u0627\u0646 \u0639\u062f\u062a\u0645 \u0639\u062f\u0646\u0627 \u0641\u0627\u0646\u062a\u0638\u0644\u0648\u0627 \u0627\u0639\u062f\u062f\u0646\u0627 \u0627\u0644\u0631\u062f.\n\n00:00:18.489 --> 00:00:29.765\n\u0627\u0644\u0645\u062d\u0648\u0631 \u0628\u0627\u062a \u064a\u062d\u0627\u0635\u0631\u0643\u0645 \u0642\u064a\u0627\u0647 \u0627\u0644\u062f\u0645 \u0639\u0627\u0642\u0644 \u062f\u0648\u0644\u062a\u0643\u0645 \u0627\u0644\u0645\u062d\u0648\u0631 \u0628\u0627\u062a \u064a\u062d\u0627\u0635\u0631\u0643\u0645 \u0642\u064a\u0627\u0647 \u0627\u0644\u062f\u0645 \u0639\u0627\u0642\u0644 \u062f\u0648\u0644\u062a\u0643\u0645 \u062d\u0632\u0628\u0627 \u062d\u0631\u0633\u0627.\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:30.014
{{Audio Event 1}}
Music"
9,11:18.4,13:10.2,AdminUser,11:18.4,,file_name_stemmed,20241210_1502_8edea0_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1502_8edea0_s3_sensor/input_video/20241210_1502_8edea0_s3_sensor.mp4,video,3.5,0.31,Done,20241127_1644_755172_s3_sensor.mp4,13:08.0,67585a165d070f32f6ad,"""WEBVTT\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:03.000
{{Audio Event 1}}
Siren"
10,14:08.8,17:08.8,AdminUser,14:08.8,,file_name_stemmed,20241210_1502_117945_s3_sensor.mp4,http://data-audio-event-v1:8000/assets/20241210_1502_117945_s3_sensor/input_video/20241210_1502_117945_s3_sensor.mp4,video,13.66666667,2.51,Done,20241127_1655_df80b0_s3_sensor.mp4,16:49.6,67585ac0c68ad6174fa3,"""WEBVTT\n\n00:00:00.765 --> 00:00:11.601\n\u0627\u0644\u0648\u0644\u0627\u062f\u0629 \u0627\u0644\u064a\u0647\u0648\u062f\u064a\u0629 \u0647\u0630\u0647 \u0645\u0627\u062a\u062a \u062e\u0648\u0641 \u0644\u0627 \u062a\u062e\u0627\u0641\u064a \u064a\u0627 \u0628\u0646\u062a \u0627\u0644\u0646\u0627\u0633 \u0627\u0644\u0645\u0648\u062a \u0648\u062d\u062f\u0629 .\n\n00:00:11.740 --> 00:00:12.882\n\u062e\u0644\u0635 \u064a\u062e\u0631\u0628\u0646\u0627 \u0648\u0644\u0643 .\n\n""","WEBVTT

00:00:00.349 --> 00:00:27.170
Fake line

",,"WEBVTT

00:00:00.349 --> 00:00:01.699
{{Audio Event 1}}
Crying

00:00:00.349 --> 00:00:05.349
{{Audio Event 4}}
People Talking

00:00:02.349 --> 00:00:03.349
{{Audio Event 2}}
Crying

00:00:05.349 --> 00:00:12.349
{{Audio Event 3}}
Crying

00:00:11.349 --> 00:00:13.349
{{Audio Event 5}}
People Talking"
